ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
1,ท30221,คำต่อคำ,1,2,1,อ.สุมิตรา คุณวัฒน์บัณฑิต (แนวตั้ง ไม่เกิน 35),11,9-1-1-1+1+1+1+1+1+1+1+1,14,พฤ.7-8,ม.4/1,พฤ.7-8,ม.4/1,
2,ท31217,พัฒนาทักษะภาษาไทย,1,2,1,อ.สุวิตรา เลิศวรรณวิทย์,25,11 -1 -1 -1 -1 -1-1+1+1+1,8,พฤ.3-4,ม.4/3,พฤ.3-4,ม.4/3,
3,ท31218,ภาษาไทยในชีวิตประจำวัน,1,2,1,อ.สุมิตรา คุณวัฒน์บัณฑิต,35,6+1+1+1+1+1+1+1-1,12,จ.1-2,ม.4/6,จ.1-2,ม.4/6,
4,ค30213,โครงการวิจัย Research Project,0.5,1,1,อ.ดร.ภัทรภร / อ.ดร.กรวรรณ,6,6-1-1+1,5,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,Update 16/10/2566
5,ค31214,คณิตศาสตร์เพื่อการสอบ SAT/CU-AAT,1,2,1,อ.ดร.ชินะ เพ็ญชาติ,35,9-1-1-1-1,5,พฤ.7-8,ม.6/5,พฤ.7-8,ม.6/5,Update 12/10/2566
6,ค31232,คณิตศาสตร์เพิ่มเติม 8,1.5,3,1,อ.ธนพัฒน์ ทองมา,35,8-1+1+1+1-1+1+1+1+1+1+1+1+1,17,"จ.3, พฤ.3-4","จ.3 ม.6/1,  พฤ.3-4 ม.4/1","จ.3, พฤ.3-4","จ.3 ม.6/1, พฤ.3-4 ม.4/1",
,,,,,2,อ.ดร.ณภาภัช พรหมแก้วงาม,35,13+1-1-1-1-1+1+1-1,11,"พฤ.9, ศ.3-4",ม.4/3,"จ.6, ศ.3-4",ม.4/3,
,,,,,3,ผศ.สุวรรณา ทิมสถิตย์,35,2+1+1-1+1+1+1+1+1-1,7,"จ.3-4, พฤ.3",ม.6/7,"จ.3-4, พฤ.3",ม.6/7,
,,,,,4,อ.มารุต เลิศจตุรพร,36,36+1-1-1-1-1-1-1-1,30,"จ.3-4, พฤ.3","จ.3-4 ห้องปฏิบัติการคณิตศาสตร์, 
พฤ.3 ม.1/1","จ.3-4, พฤ.3","จ.3-4 ห้องปฏิบัติการคณิตศาสตร์, 
พฤ.3 ม.1/1",
,,,,,5,อ.วิมลมาศ อำพลพงษ์,35,32+1+1+1+1+1+1-1+1-1-1-1,35,"จ.6-7,พฤ.3","จ.6-7, ม.4/2, 
พฤ.3 ม.3/1","อ.7-8, พฤ.3","อ.7-8 ม.4/2, 
พฤ.3 ม.3/1",
,,,,,6,อ.ดร.พรทิพย์ ธีรภานนท์,35,35-1+1+1,36,"จ.6,พฤ.3-4","จ.6 ม.4/4, พฤ.3-4 ม.4/2","อ.7, พฤ.3-4","อ.7 ม.4/4, พฤ.3-4 ม.4/2",Update 09/10/2566
,,,,,7,อ.มานพ พินิจพันธ์,35,11+1-1-1,10,"พฤ.9,พ.1-2",ม.4/6,"จ.6, พ.1-2",ม.4/6,
7,ค30214,เสริมทักษะคณิตศาสตร์,0.5,1,1,อ.ดร.กุลนิดา ปลื้มปิติวิริยะเวช,35,1,1,พฤ.7,ม.4/4,พฤ.7,ม.4/4,รายวิชาเปิดใหม่
