ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 6 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก(Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
 (4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
1,ท30221,คำต่อคำ,1,2,1,อ.สุมิตรา คุณวัฒน์บัณฑิต (แนวตั้ง ไม่เกิน 35),12,5+1-1,5,พฤ.7-8,ม.4/1,พฤ.7-8,ม.4/1,
2,ท33211,ภาษาไทยวิชาการ 1,1,2,1,อ.นวพร สุรนาคะพันธุ์,35,32+1-1-1,31,จ.1-2,ม.6/1,จ.1-2,ม.6/1,
3,ท33213,ภาษาไทยปริทัศน์ 1,1,2,1,อ.อินทร์วุธ เกษตระชนม์,10,10-1+1+1,11,ศ.3-4,ม.6/4,ศ.3-4,ม.6/4,
4,ท33215,เรียงถ้อยเป็นร้อยกรอง,1,2,1,อ.นวพร สุรนาคะพันธุ์,25,25,25,พ.3-4,ม.6/1,พ.3-4,ม.6/1,
5,ท33220,ภาษาไทยพัฒนา,1,2,1,อ.อินทร์วุธ เกษตระชนม์,25,7+1+1,9,ศ.1-2,ม.6/4,ศ.1-2,ม.6/4,
6,ท33223,ภาษาไทยทัศนา,1,2,1,อ.อินทร์วุธ เกษตระชนม์ (เต็ม),13,10+1+1+1,13,พ.8-9,ม.6/5,อ.3-4,ม.6/5,
7,ท33224,การเขียนร้อยแก้วเชิงสร้างสรรค์,1,2,1,ผศ.สุพัตรา อุตมัง,25,8,8,จ.1-2,ม.6/2,จ.1-2,ม.6/2,
8,ค30206,Excel/PowerPoint เพื่อการทำงาน,1,2,1,อ.ธนพัฒน์ / อ.มานพ,25,25+1+1-1-1-1,24,พฤ.7-8,ห้องคอมพิวเตอร์ 309/2,พฤ.7-8,ห้องคอมพิวเตอร์ 309/2,
9,ค30213,โครงการวิจัย Research Project,0.5,1,1,อ.ดร.ภัทรภร / อ.ดร.กรวรรณ,10,4,4,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,พฤ.7,ห้องปฏิบัติการคณิิตศาสตร์,Update 16/10/2566
10,ค33204,แคลคูลัส CUD-AP 2,1,2,1,อ.ดร.นที ปิติวรรณ,2,1+1,2,พ.3-4,ม.6/7,พ.3-4,ม.6/7,
11,ค33221,พื้นฐานคณิตศาสตร์สำหรับศึกษาต่อ,1,2,1,อ.ไพโรจน์ โอ่งตั๋ว,35,18-1+1+1+1+1,21,พฤ.7-8,ม.4/4,พฤ.7-8,ม.4/4,Update 19/10/2566
12,ค33232,คณิตศาสตร์เพิ่มเติม 12,1.5,3,1,อ.ดร.นที ปิติวรรณ,35,31+1+1+1+1,35,"จ.3-4, ศ.4",ม.6/3,"จ.3-4, ศ.4",ม.6/3,
,,,,,2,อ.วิวัฒน์ ลีวงศ์วัฒน์,35,3,3,"จ.1-2, พฤ.2","จ.1-2 ม.4/5, พฤ.2 ม.5/5","จ.1-2, พฤ.2","จ.1-2 ม.4/5, พฤ.2 ม.5/5",Update 12/10/66
,,,,,3,อ.ธนพัฒน์ ทองมา,35,25-1+1-1-1+1-1,23,"พ.8-9, ศ.1",ห้องปฏิบัติการคณิตศาสตร์,"อ.3-4, ศ.1",ห้องปฏิบัติการคณิตศาสตร์,
,,,,,4,อ.วิวัฒน์ ลีวงศ์วัฒน์,35,,,"พ.4, ศ.1-2",(ปิดรายวิชา),"พ.4, ศ.1-2",(ปิดรายวิชา),(ปิดรายวิชา)
,,,,,5,อ.ไพโรจน์ โอ่งตั๋ว,35,13+1,14,"พ.1-2, ศ.1",ม.6/1,"พ.1-2, ศ.1",ม.6/1,
13,ว30210,ประเด็นฟิสิกส์ในภาพยนตร์,1,2,1,อ.วรรณา นาคศรีอาภรณ์,35,33+1+1+1+1,37,ศ.3-4,ม.6/1,ศ.3-4,ม.6/1,
14,ว30215,ฟิสิกส์ 5,1.5,3,1,ผศ.อมรรัตน์ บุบผโชติ,35,17-1-1-1-1-1-1-1-1-1-1-1-1-1-1,3,"จ.4, พฤ.1-2",ม.5/1,"จ.4, พฤ.1-2",ม.5/1,
,,,,,2,อ.วรรณา นาคศรีอาภรณ์,35,11+1+1-1+1,13,"จ.4, พฤ.1-2",ม.6/1,"จ.4, พฤ.1-2",ม.6/1,
,,,,,3,อ.วรรณา นาคศรีอาภรณ์,35,7,7,"พ.8-9, ศ.2",ม.6/1,"อ.3-4, ศ.2",ม.6/1,
,,,,,4,อ.พรเทพ ทองตั้ง,35,14-1,13,"พ.1, พฤ.7-8","พ.1 ม.2/6, พฤ.7-8 ม.6/2","พ.1, พฤ.7-8","พ.1 ม.2/6, พฤ.7-8 ม.6/2",
15,ว33236,เคมี 6,2,4,1,อ.รัฏฏิกา ตั้งพุทธิพงศ์,35,23+1-1+1+1-1,24,"จ.3, พฤ.0, ศ.3-4",ม.6/6,"จ.3, อ.6, ศ.3-4",ม.6/6,
,,,,,2,อ.ธาริณี วิทยาอนิวรรตน์,35,18-1,17,"พ.9, พฤ.1-2, ศ.3",ม.6/2,"อ.4, พฤ.1-2, ศ.3",ม.6/2,
16,ว33255,ชีววิทยา 5,1.5,3,1,อ.นัยนา ตรงประเสริฐ,35,16+1-1-1-1-1-1-1-1,10,"พ.1-2, ศ.2",ม.6/7,"พ.1-2, ศ.2",ม.6/7,
,,,,,2,อ.นัยนา ตรงประเสริฐ,35,7+1+1+1+1+1+1,13,"พ.6, พฤ.1-2",ม.6/7,"พ.6, พฤ.1-2",ม.6/7,
,,,,,3,ผศ.น้ำผึ้ง ศุภอุทุมพร,35,13-1,12,"พ.8, ศ.1-2",ม.6/2,"อ.3, ศ.1-2",ม.6/2,
17,ว33256,ตะลุยโจทย์ชีววิทยา,1,2,1,อ.สายสวาท สุวัณณกีฏะ,35,7+1+1,9,พ.8-9,ม.6/4,อ.3-4,ม.6/4,
18,ว33257,ตะลุยโจทย์เคมี,1,2,1,อ.รัฏฏิกา ตั้งพุทธิพงศ์,35,16+1+1-1,17,ศ.1-2,ม.6/6,ศ.1-2,ม.6/6,Update 09/10/2566
19,ส30232,ประเด็นในโลกร่วมสมัย,1,2,1,อ.วิทวัส ศรีเทพ,35,33+1-1+1+1+1+1+1+1+1,40,พ.3-4,ม.6/4,พ.3-4,ม.6/4,
20,ส30233,เศรษฐศาสตร์น่ารู้,1,2,1,อ.ดร.พิเศษ​พร วศ​วงศ์,35,7 -1 +1,7,พฤ.7-8,ม.4/5,พฤ.7-8,ม.4/5,
21,ส30235,กฎหมายลิขสิทธิ์พื้นฐานในโลกยุคดิจิทัล,1,2,1,อ.ภาคภูมิ มโนมัยวงศ์,12,1,1,พฤ.7-8,ม.5/1,พฤ.7-8,ม.5/1,
22,ส33240,นวัตกรรมผู้ประกอบการ,1,2,1,อ.กมลชนก สกนธวัฒน์,35,35-1-1+1-1+1-1-1-1-1-1+1+1,31,จ.3-4,ม.6/4,จ.3-4,ม.6/4,
23,ส33249,เมืองสร้างสุข,0.5,1,1,อ.บุญฤทธิ์ บุญมา(เต็ม),35,32+1+1+1+1-1-1+1,35,พ.6,ม.6/1,พ.6,ม.6/1,
24,ส33251,ว่าด้วยเรื่องเพศในมิติสังคม,0.5,1,1,อ.วิทวัส ศรีเทพ,35,35-1-1+1+1-1+1+1+1+1,38,จ.0,ม.6/4,ศ.6,ม.6/4,
25,ส33252,ประวัติศาสตร์ในวรรณกรรมและภาพยนตร์,1,2,1,อ.พลอยสิริ คำโสภา (เต็ม),35,35+1+1-1+1,37,พ.1-2,ม.6/4,พ.1-2,ม.6/4,
26,ส33253,กลยุทธ์การทูต,0.5,1,1,อ.ดร.สิริภัทร ชื่นค้า (เต็ม),36,35-1+1+1-1,35,พฤ.0,ม.6/4,อ.6,ม.6/4,
27,ส33254,รู้สู้ภัยพิบัติและโลกร้อน,0.5,1,1,อ.ดร.กนก จันทรา,35,35-1+1-1,34,พ.6,ม.6/4,พ.6,ม.6/4,
28,พ33233,แบดมินตันเพื่อสุขภาพ,1,2,1,อ.ทินวัฒน์ นาคศรีอาภรณ์ (##),25,25+1+1+1+1+1+1+1+1+1+1+1+1+1,38,พ.1-2,สนามบาสและวอลเลย์บอล,พ.1-2,สนามบาสและวอลเลย์บอล,
29,พ33236,หลักการสร้างสมรรถภาพทางกาย,1,2,1,อ.ทินวัฒน์ นาคศรีอาภรณ์,15,14-1+1+1+1+1,17,พฤ.1-2,ห้องยืดหยุ่น,พฤ.1-2,ห้องยืดหยุ่น,
